part_number,name,spec_frequency,name_contains_part_number,url
ECS-2520MV-500-BN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-500-BN-TR
ECS-2520MVLC-250-BP-TR,ECS Inc. XTAL OSC XO 25MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-250-BP-TR
ECS-2033-250-BN,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-250-BN
FK2500067,Diodes Incorporated XTAL OSC XO 25.0000MHZ LVCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FK2500067
ECS-2033-080-BN,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-080-BN
636L3I025M00000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3I025M00000
ECS-2033-040-BN,ECS Inc. XTAL OSC XO 4.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-040-BN
KC3225K25.0000C1GE00,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC3225K25.0000C1GE00
CB3-3I-16M000000,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3I-16M000000
ECS-2520MVQ-240-BP-TR,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-240-BP-TR
KC3225K50.0000C1GE00,KYOCERA AVX XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC3225K50.0000C1GE00
ECS-2520MVLC-080-BN-TR,ECS Inc. XTAL OSC XO 8.0MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-080-BN-TR
ASE-25.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-25.000MHZ-L-C-T
CB3LV-3C-50M000000,CTS-Frequency Controls XTAL OSC XO 50.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-50M000000
ASE-50.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-50.000MHZ-L-C-T
KC2016Z27.0000C15XXK,"KYOCERA AVX CLOCK OSCILLATOR,2.0X1.6X0.8MM S",,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016Z27.0000C15XXK
CB3-3C-8M000000,CTS-Frequency Controls XTAL OSC XO 8.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-8M000000
CB3LV-3C-25M000000,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-25M000000
ASE-8.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-8.000MHZ-L-C-T
ASE-48.000MHZ-L-C-T,Abracon LLC XTAL OSC XO 48.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-48.000MHZ-L-C-T
ECS-2520MVQ-080-CN-TR,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-080-CN-TR
